,0_n,0_p,1_n,1_p,2_n,2_p,3_n,3_p,4_n,4_p,5_n,5_p,6_n,6_p,7_n,7_p,8_n,8_p,9_n,9_p,10_n,10_p,11_n,11_p,12_n,12_p,13_n,13_p,14_n,14_p,15_n,15_p,16_n,16_p,17_n,17_p,18_n,18_p,19_n,19_p,20_n,20_p,21_n,21_p,22_n,22_p,23_n,23_p,24_n,24_p,25_n,25_p,26_n,26_p,27_n,27_p,28_n,28_p,29_n,29_p,30_n,30_p,31_n,31_p,32_n,32_p,33_n,33_p,34_n,34_p,35_n,35_p,36_n,36_p,37_n,37_p,38_n,38_p,39_n,39_p,40_n,40_p,41_n,41_p,42_n,42_p,43_n,43_p,44_n,44_p,45_n,45_p,46_n,46_p,47_n,47_p,48_n,48_p,49_n,49_p,50_n,50_p,51_n,51_p,52_n,52_p,53_n,53_p,54_n,54_p,55_n,55_p,56_n,56_p,57_n,57_p,58_n,58_p,59_n,59_p,60_n,60_p,61_n,61_p,62_n,62_p,63_n,63_p,64_n,64_p,65_n,65_p,66_n,66_p,67_n,67_p,68_n,68_p
13,ADGRL4,0.0,RPS12,0.0,BTG1,0.0,TMSB4X,0.0,SFN,0.0,TSPAN1,0.0,MPZL2,0.0,FCER1G,0.0,ACPP,0.0,SPARC,0.0,MUSTN1,0.0,GSN,0.0,IGFBP7,7.983974488806149e-70,TXNIP,0.0,CD3D,0.0,VWA5A,0.0,LGALS1,0.0,CD68,0.0,KLRK1,0.0,CD27,0.0,DBI,0.0,PTPRC,0.0,HSP90AA1,9.98864437518178e-134,TSPAN1,0.0,HSP90AB1,1.1609569484995595e-40,RPL18A,1.6422143461443656e-263,IER3,7.565329395808047e-144,CKB,3.2452869047431015e-57,SAT1,4.759003682717173e-67,PDLIM1,2.995338038316669e-232,MT-CO3,4.709436730988865e-64,OR51E2,2.010042512688755e-108,HLA-DQA1,3.598060205849468e-86,LAPTM4A,8.915309109069282e-105,LGALS1,2.1333381155405916e-94,CTSZ,1.6302631236315266e-51,SNHG25,1.3035620552846393e-99,FYN,8.688493266923715e-56,AZGP1,1.7608042422136542e-65,ARMC3,1.3165190358853664e-29,SPDEF,5.968308756551467e-47,ANXA2,1.4208235975914005e-42,TNFRSF17,4.992937759567906e-11,CD74,5.5636375935727105e-31,A2M,3.4088242699170182e-31,CD74,6.094218322685744e-23,ANPEP,4.075012932824588e-28,LGALS1,1.8507614338538327e-22,KLK2,2.641024523129491e-16,SH3BGRL3,7.14039888152578e-20,S100A11,5.198420713295129e-18,FTL,1.0252194514699324e-18,CLDN4,3.900219036433522e-15,TPM2,2.1899942586056414e-16,SOD2,2.2338826988835677e-14,RPS26,2.3362534042601775e-11,MT-CO1,9.17979436464807e-15,PCA3,4.087253606775878e-15,FTL,1.1180389963202086e-14,TMED2,1.2392654245125782e-12,RPL23,3.8871320353576166e-13,HIF1A,2.4017525205539584e-10,MT-ND4,1.0779443521739219e-07,HEBP2,1.604897691014977e-08,CXCL8,1.2603243748768561e-08,DBI,1.2744451999101946e-10,CXCL8,6.436529033666723e-09,MESP1,6.651085834568249e-10,MT1A,6.76693582545096e-08
14,HLA-E,0.0,RPL30,0.0,RUNX3,0.0,BTG1,0.0,KRT18,0.0,KLK3,0.0,SFN,0.0,CTSS,0.0,GDF15,0.0,PDGFRB,0.0,MFGE8,0.0,PODXL,0.0,FOS,8.274468410677483e-70,HLA-B,0.0,HLA-A,0.0,VIM,0.0,CCDC80,0.0,HLA-DRA,0.0,BTG1,2.375957535040588e-292,S100A4,0.0,GDF15,0.0,ARL4C,0.0,TSPYL2,1.3010612410686825e-92,PPP3CA,0.0,HSPA1A,7.899074624666057e-37,RPS8,2.7283661466739176e-259,RGS1,6.826078602106471e-143,RPL37A,5.752558804007455e-55,IL1B,8.871592770557647e-67,S100A14,1.5364702514277022e-229,MTRNR2L8,5.5761543767835886e-64,TMEFF2,2.153070636345677e-107,C1QA,8.386908380781023e-86,CLU,1.7834974519104954e-104,S100A10,4.507406384804826e-94,AIF1,2.4563504808948355e-51,FAM3B,8.642681899662496e-97,YWHAZ,9.444192174796622e-56,DHRS7,5.000778559058141e-65,EHF,1.1754840045816684e-28,NPY,7.971266946804306e-47,ECSCR,1.6141362751881625e-41,FCRL5,2.0323050323741711e-10,IL1B,7.00365058793853e-31,C6orf48,3.576878222143034e-31,HLA-DRB1,1.418624410183084e-22,MT-ND3,4.898548483155124e-28,BRI3,2.0444548438596065e-22,KLK3,3.8293171946248963e-16,LGALS3,9.395952137262381e-20,S100A8,7.276474511771195e-18,HMOX1,1.4845579784211123e-18,IL1RN,7.440007150877163e-15,COX6A2,2.8702456440469933e-16,LGALS3,2.5705395520846903e-14,PTN,3.4955610483303215e-11,DHRS7,3.1788122533405385e-14,AMD1,7.162694321843242e-15,PCAT4,1.2904208940835585e-14,STEAP2,1.3098401970618067e-12,TRPM4,4.952632678467938e-13,IFI27,2.9229098474849995e-10,FILIP1L,1.1460788164703172e-07,SFRP4,3.004111145251951e-08,AVPI1,2.297666653410507e-08,DDIT3,1.50601836206747e-10,CCL4,7.4270938785149574e-09,MS4A6A,7.019149763562519e-10,AZGP1,8.429785173899025e-08
15,RNASE1,0.0,RPL39,0.0,HSPH1,0.0,TRBC2,0.0,ERRFI1,0.0,KIAA1324,0.0,DSP,0.0,FGL2,0.0,AZGP1,0.0,LGALS1,0.0,TPM1,0.0,FLT1,0.0,KRT8,3.630303220376535e-63,HSP90AA1,0.0,CD2,0.0,ARHGAP18,0.0,SERPINF1,0.0,CXCL8,0.0,RPS27,5.336539061803135e-277,DUSP4,0.0,TSPAN1,0.0,GZMA,0.0,HSPH1,6.845604199555707e-88,OR51E2,0.0,PLA2G2A,8.651064381965607e-37,RPL21,1.4057725789063927e-254,TYROBP,1.8219633611012842e-137,DBI,2.0110832430693677e-53,CXCL8,1.5464462691590982e-66,LAMC2,1.2426020201994676e-228,SLC2A3,6.980749999437039e-58,DBI,3.66168153748769e-107,C1QB,8.645386298058675e-86,SPINK2,5.304639227636013e-104,VIM,1.8433525852266161e-88,IFI30,4.2141378226813433e-50,KLK4,2.9887748995210786e-96,EML4,6.910540370776204e-54,STEAP2,5.495091067617185e-65,SLC44A4,4.73087545756646e-28,FABP5,3.374589780292355e-46,IGFBP7,1.2535103396585124e-40,SLAMF7,2.139620002589831e-10,HLA-DPB1,1.0223342640699811e-28,SOX18,6.930004518297128e-31,TRGC1,1.9214310174522408e-22,KLK4,8.870698985453144e-28,FTH1,3.19361107939638e-22,NPY,4.3007087485974886e-16,MSMB,1.8177512389766615e-19,MDK,9.661424829699189e-18,NPY,1.872357935301223e-18,CCL20,7.456936602352107e-15,CRYAB,2.5673186000801194e-15,G0S2,7.790723285901107e-14,TFF3,4.551303739062283e-11,MGST1,5.71173110990469e-14,H2AFJ,8.000987920835684e-15,TRPM8,1.4865656103920106e-14,PPP3CA,1.6948822187164322e-12,PRAC1,6.589645832204479e-13,HLA-DPA1,2.9389922019405464e-10,IGFBP7,4.2894663082413033e-07,MGP,3.478938707181642e-08,LUM,2.6052258793377222e-08,DHRS7,2.905481251726924e-10,MSMB,8.936010543317902e-09,RPS2,7.756392821795898e-10,TMPRSS2,9.215576559795939e-08
16,CAVIN2,0.0,CXCR4,0.0,SARAF,0.0,NKG7,0.0,ANXA2,0.0,GALNT7,0.0,KRT8,0.0,NPC2,0.0,APOC1,0.0,COL1A2,0.0,SELENOM,0.0,PTPRB,0.0,IFITM3,2.3168512551753666e-60,IL32,0.0,B2M,0.0,SLC18A2,0.0,NR2F1,0.0,SERPINA1,0.0,CST7,9.664505253837304e-275,LTB,0.0,FABP5,0.0,HLA-B,0.0,STK4,5.141482812954471e-71,TMEFF2,0.0,DNAJA1,2.595307688664709e-35,RPL13A,1.1479652311652545e-252,SAT1,2.3166620231463813e-137,RPL36,1.9710791259976323e-51,JUNB,1.1033925806688591e-65,TNFRSF12A,1.2382536082132332e-227,MT-ND3,1.4406102203442273e-57,PCA3,1.1552946344930559e-106,HLA-DQB1,1.1994558517486672e-85,CYP4F8,1.836723486713124e-103,CHL1,2.3396883024804922e-86,C1orf162,9.26488464685814e-48,SCD,6.52159395494493e-95,YPEL5,2.1596666724917197e-53,TMPRSS2,7.796906206749451e-61,CLDN3,6.1122601225893345e-28,DBI,8.78306318187286e-45,TMSB10,4.570211055415127e-40,IGHG1,2.7890704702927814e-10,AC020656.1,1.9646623675715493e-28,EGFL7,8.744633331982072e-31,SPON2,2.3864293820044906e-22,GNMT,1.109117224674115e-27,PLA2G2A,7.779694928769451e-22,TXN,8.436132953779428e-16,S100A11,3.546199814791025e-19,ANXA2,1.2525997554996775e-17,LYZ,2.5518966319856377e-18,LGALS3,1.446959853615898e-14,MT1X,3.0700244595411158e-15,ANXA2,1.2094249620116323e-13,MFAP4,6.292780377544306e-11,TRGC1,7.763265395968152e-14,ARG2,1.0798326742252839e-14,CD68,1.6173238774859384e-14,DBI,1.848391265286464e-12,CKB,9.671534832032692e-13,S100A6,4.468429894984565e-10,MYLK,6.053940863435355e-07,AGR2,7.971251631976474e-08,C7,2.8105840360824537e-08,SPON2,2.9983791148083746e-10,PDLIM5,1.8727140350807997e-08,MGST1,8.444815497867666e-10,TRPM8,1.1396807712613328e-07
17,EMCN,0.0,RPS19,0.0,JUND,0.0,CD69,0.0,PALLD,0.0,SPDEF,0.0,KRT7,0.0,FTL,0.0,DBI,0.0,LHFPL6,0.0,SOD3,0.0,IFITM3,0.0,YBX3,6.609912268353557e-56,CD3G,0.0,RPS15A,0.0,CAPG,0.0,MMP2,0.0,IL1B,0.0,CCL5,3.90037184273561e-271,TBC1D4,0.0,TMEFF2,0.0,GZMM,0.0,CXCR4,8.056694007122976e-71,DHRS7,0.0,ACPP,6.62663973658057e-35,RPS16,1.1444629962617696e-247,HLA-DQB1,1.0804140903665873e-132,DSTN,1.5672261200833606e-49,ZFP36,9.55502280971811e-65,ANXA2,1.4480901977971338e-227,TCF4,7.017007679675812e-52,TMPRSS2,2.5747096906136207e-102,TMSB10,2.584760435307159e-85,GSTP1,2.5483055567289677e-103,SEMA3B,5.354792709137712e-86,C1orf54,1.337165120501257e-45,DCXR,1.908781872196685e-94,TGFB1,5.413539144864421e-53,NPY,2.963910512703096e-59,CLDN4,1.920570393260063e-27,ARG2,8.818409082629351e-45,TBX1,9.865876131753093e-40,IGHG3,8.787647697146004e-10,MT1X,3.1761150304171777e-28,HIGD1B,1.028006049653534e-30,RDH11,3.401411513741731e-22,TMSB15A,1.2475561251472039e-27,FTL,9.06161808431635e-22,LRRC75A,3.851387640651924e-15,FTH1,4.0240005170018176e-19,GPX2,3.057968716169439e-17,CTSB,3.141312265545284e-18,EGLN3,1.5383974386554453e-14,MYH2,4.061024582332271e-15,CTSB,2.320474686173427e-13,TIMP1,1.7832451476556286e-10,MESP1,1.3546029327373257e-13,DHRS7,1.495133150634864e-14,IFI30,1.6748278510749062e-14,EGR1,2.8612513920204295e-12,TFF3,1.2021589599340165e-12,CST3,1.4108912202428215e-09,MT-CYB,8.064982842393454e-07,GZMK,1.1610363598904578e-07,HSPB1,3.32618999787457e-08,GADD45G,4.1322713281218993e-10,KRT17,2.260575716222549e-08,CD24,9.420994311269619e-10,NUDT8,1.5565350376433312e-07
18,ENG,0.0,RPS27A,0.0,IL32,0.0,KLRK1,0.0,CCN1,0.0,PRAC1,0.0,CLDN4,0.0,IGSF6,0.0,TMEFF2,0.0,NOTCH3,0.0,MCAM,0.0,TM4SF1,0.0,KRT5,6.997265831891314e-52,CYTIP,0.0,BTG1,0.0,HPGD,0.0,COL6A1,0.0,SAT1,0.0,FCER1G,1.5699188270525165e-268,CD3E,0.0,OR51E2,0.0,EFHD2,0.0,SMCHD1,5.157877521957782e-69,NUPR1,0.0,CRIP1,3.53003629654649e-34,EEF1B2,8.650579879163004e-244,FTH1,6.296732663881168e-126,PRAC1,2.4214184498883043e-45,CD74,9.36584810243078e-64,EHF,2.1939510667585385e-227,MT-ND4L,1.7487392711702513e-46,TSPAN1,9.801463165985932e-102,HLA-DRB5,4.0860236777596315e-80,GSTM3,1.4901425359645495e-101,MAL,7.261442435070556e-85,AC020656.1,1.3937940575880641e-45,PCOTH,3.8159873534538753e-94,KLRD1,1.0851027772776733e-51,SLC45A3,3.6611403759846806e-59,TFF3,2.9390129160970473e-27,GNMT,1.1474619521167892e-44,AKAP12,1.8963663918195677e-39,IGHG4,9.198073918197644e-10,IFI30,5.525924538077487e-28,FXYD6,1.290254557247579e-30,PDLIM5,1.270635832939068e-21,SYT1,1.341721180580454e-27,CD63,1.040282613110113e-21,CXCL2,8.518651062551398e-15,IFI30,5.824977787982218e-19,PLA2G2A,3.4467833221352147e-17,IL1B,5.621607088201501e-18,KRT19,2.467335876796309e-14,CA3,4.4858801170155556e-15,IL1B,4.3570829469510544e-13,CFD,2.020744724222302e-10,SLC45A3,2.793199617155357e-13,AZGP1,1.7840618412636336e-14,IL1B,1.8475061629421605e-14,SPON2,4.1186883102365006e-12,RPL12,1.2248625704861297e-12,RGS1,2.224188321470356e-09,TNNT3,1.0422482727935186e-06,RPL34,1.326909100506412e-07,TACSTD2,4.4087431520947767e-08,EGR1,5.733807088986591e-10,H2AFJ,2.7201558347826796e-08,TFF3,1.0704423726651746e-09,SPON2,1.899420359391648e-07
19,PECAM1,0.0,RPS3,0.0,CYTIP,0.0,HLA-B,0.0,LIMA1,0.0,HOXB13,0.0,AQP3,0.0,IFI30,0.0,RPS26,0.0,NR2F1,0.0,MAP3K20,0.0,HLA-E,0.0,PDLIM1,5.817785800891541e-51,HSPA1A,0.0,HLA-B,0.0,EMP3,0.0,ALDH1A1,0.0,NPC2,0.0,CLIC3,3.2628231602854994e-262,CARD16,0.0,NKX3-1,0.0,SH3BGRL3,0.0,IKZF1,7.492171455368528e-63,SEC11C,0.0,NPY,6.490078743272125e-32,CD83,4.837406795917214e-243,FCER1G,3.187727837143891e-125,RPS4X,8.14646603348896e-45,ATF3,3.8632424004320964e-63,ITGB6,9.881169829384464e-217,PIK3R3,3.868680055881448e-46,NUPR1,3.052114261003247e-101,C1QC,8.344817878433101e-80,AQP2,2.0513342315211532e-101,TMEM176B,2.684587617830884e-83,G0S2,9.921362128286666e-45,SMIM22,5.492865723413931e-93,SYTL3,1.4186385315313087e-51,ARG2,1.6743237624416874e-58,F11R,1.6476122476895774e-26,CLDN3,3.883229130270056e-44,NR2F1,2.426996076657971e-39,ITM2C,5.83399152242055e-09,IER3,8.407693868540416e-28,MKL2,1.7693242181812735e-30,RGS5,1.9172760359350855e-21,FADS2,1.3751458106752488e-27,ACTB,1.1252147569877986e-21,EIF4E,3.557603107655114e-14,TM4SF19,7.270477278545274e-19,PLAUR,4.127959362955791e-17,C1QB,6.337810552250878e-18,BIRC3,5.900524085951089e-14,TNNC1,4.650106191682739e-15,S100A11,6.740437232615623e-13,OGN,3.9094824448281925e-10,AZGP1,8.224961303051057e-13,FOLH1,2.0675325034319424e-14,CAPG,1.8791066113655903e-14,ALDH1A3,5.079342810067978e-12,ARG2,1.2935684578545563e-12,TGFBI,2.3760567066205947e-09,TPM2,1.0849354183095894e-06,ATP5F1E,1.405407816478213e-07,RND3,5.915423591486822e-08,TSPAN1,5.8756693068482e-10,KRT14,3.556688577611787e-08,SMS,1.221747955515327e-09,RGS5,2.16444737713614e-07
20,SPTBN1,0.0,BTG1,0.0,CD3E,0.0,TXNIP,0.0,WFDC2,0.0,FOLH1,0.0,CXADR,0.0,OGFRL1,0.0,TSPAN1,0.0,MFGE8,0.0,MYL6,0.0,ADGRL4,0.0,ANXA2,8.874995938177618e-51,SPOCK2,0.0,RPS29,0.0,NFKBIA,0.0,C1R,0.0,G0S2,0.0,ITM2C,5.459141063144229e-262,ARHGDIB,0.0,TRGC1,0.0,CD247,0.0,BTG1,9.696635224574666e-63,TMPRSS2,0.0,ANXA1,8.583967073655575e-32,RALGPS2,2.3747242301680973e-239,GPR183,4.9425333468314445e-124,PPDPF,2.914150649682514e-44,FTL,1.211042349996286e-62,PAWR,1.6279644152447407e-216,INTS6,1.1096835966406223e-45,TRGC1,9.507914943838264e-100,TPT1,1.629769777952026e-76,NUPR1,1.9295944058993223e-100,ANK3,3.369271482730078e-81,HSPD1,1.0706107226751976e-44,TSPAN8,2.8573638533653253e-92,CALM1,3.149924767760073e-51,PLA2G2A,3.869506805616742e-58,MNS1,1.737696488158902e-26,DCXR,6.5357428460924e-44,MTUS1,6.265137846434494e-39,HBA2,1.162233752667629e-08,NFKBIA,3.303451401205346e-27,PODXL,6.814734934750872e-30,BASP1,6.630709958586627e-21,LINC00844,2.154842786037262e-27,LCP1,3.260588796547922e-21,PLAUR,4.3147630333305706e-14,MT1M,1.0454390065294378e-18,S100P,7.397610850559194e-17,MT1F,8.411067659798724e-18,MT2A,1.3352835192855286e-13,HES1,6.360431298157335e-15,SFN,9.627542723482197e-13,KLK3,1.8279465218920357e-09,CALR,2.161261970430479e-12,AGR2,2.348691043105692e-14,C1QC,2.5769901362875337e-14,FABP5,6.0579480844554016e-12,TMPRSS2,1.8852300308676994e-12,CTSB,2.709144720340224e-09,TNNC2,1.0965288559371365e-06,DUSP1,1.4689575005292004e-07,GADD45A,5.947399760151909e-08,RLN1,6.473301103074096e-10,AGR2,3.731552734821608e-08,FCER1G,1.396957143397629e-09,AGR2,3.121754486042092e-07
21,APP,0.0,RPL13,0.0,DNAJB6,0.0,KLRD1,0.0,ETS2,0.0,ZG16B,0.0,SDC1,0.0,MS4A7,0.0,LYZ,0.0,FILIP1L,0.0,NOTCH3,0.0,PLPP1,0.0,ACTB,2.959149677420217e-46,PTPRC,0.0,CD3G,0.0,FCER1G,0.0,SFRP1,0.0,CYBB,0.0,CCL4,2.3281659759054655e-259,TNFRSF9,0.0,NPY,0.0,ITGB2,0.0,IL7R,2.950346265488568e-60,TRPM4,0.0,CCL5,1.165623767835409e-31,RPL11,8.52364001121682e-238,G0S2,4.538533079941795e-117,RPL12,1.0686959437613756e-43,CCL3L1,1.2989904389821966e-62,TPM4,9.292145143764515e-213,HNRNPA2B1,6.255163522499014e-45,SMS,1.4848558366315022e-96,ACTB,1.3303562005561314e-75,PDK4,1.851531420877585e-99,MARCKS,1.0059804724091805e-80,IDO1,1.0100382799872205e-43,PCBD1,9.723182862310232e-92,PIK3R1,3.2902313145983765e-51,PPP3CA,1.0210387132892091e-53,TMEM59,4.619765294825921e-26,TRGC1,2.9700069996765713e-43,SMAD1,1.9064700915718168e-38,MEI1,4.908608319567994e-08,HLA-DPA1,4.080360347162989e-27,ITIH5,9.266499505640709e-30,GNMT,1.200351373244414e-20,FOLH1,2.8436989455195462e-27,S100A6,4.2866360906628364e-21,TMEFF2,5.853887175076506e-14,CAPG,1.231575862642858e-18,SERPINB1,8.219611702803486e-17,CXCL2,1.3387296368441006e-17,SPON2,2.1111785162733938e-13,MT2A,3.513577757960637e-14,ACTB,1.6126065348386865e-12,FOS,2.133545509962068e-09,SMS,3.4886088656986555e-12,IL1B,3.4606800911116983e-14,CTSS,3.37971487876025e-14,MGST3,9.497085987464654e-12,KLK2,2.5072826595806406e-12,HLA-DRA,2.989790195341584e-09,MT1M,1.1161259099860106e-06,NPY,1.5380642656871283e-07,SQSTM1,6.458861791007141e-08,H2AFJ,6.50382572134878e-10,TFF3,5.11052430881939e-08,LRRC26,1.4701093199777382e-09,CRYAB,3.2209095442857253e-07
22,ABCG2,0.0,CD48,0.0,LEPROTL1,0.0,CCL4,0.0,IGFBP2,0.0,TBX3,0.0,MT-CYB,0.0,LST1,0.0,MSMB,0.0,SYNPO2,0.0,TINAGL1,0.0,CAVIN2,0.0,ETS2,1.3590660512281126e-45,CCL20,0.0,HSPA1A,0.0,LAPTM4A,0.0,MXRA8,0.0,PLAUR,0.0,TMIGD2,9.050718778712828e-251,UGP2,0.0,FXYD3,0.0,HCST,0.0,BCL11B,5.0316457347031294e-58,MGST1,0.0,RPS27,3.350617356273473e-30,HLA-DRB1,1.791061132074606e-237,SRGN,1.0141617142084513e-116,PEBP1,2.7484869918662357e-42,MYL9,2.898557058845301e-61,RAP2B,1.3682123420553832e-211,LIFR,1.931585748201248e-43,MGST1,5.574049653647044e-94,OAZ1,3.0768600791983063e-75,PGC,1.7851766115080254e-98,MPZ,2.3427251268129316e-80,CLEC9A,6.125435624801277e-43,CXADR,2.1860755946569402e-91,AUTS2,3.639106803925877e-51,MESP1,2.2981792104062405e-53,ALCAM,4.961521695259626e-26,MGST1,4.446164645721804e-43,CD59,2.0158519670140327e-38,CYBA,1.0760012932805683e-07,APOE,5.5512306361183346e-27,SLCO2A1,1.303422988416476e-29,TMEFF2,2.2100000872273556e-20,DHRS7,3.152604526172617e-27,CAPG,2.0390721907464712e-20,MT1A,8.460670577325761e-14,GPNMB,1.5481761166206673e-18,TFF3,8.669464042178178e-17,C1QA,1.3794338417300777e-17,TFF3,2.662026970031314e-13,EGR1,3.907178422825209e-14,KRT8,3.336559440277451e-12,LTBP4,5.195555673252819e-09,FABP5,5.378307717475491e-12,CALR,6.002891032323072e-14,PCAT14,7.26333330931906e-14,MGST1,2.546929069098235e-11,TMEFF2,2.575376112343478e-12,TYROBP,1.0979004228810113e-08,CCN2,1.785535814754317e-06,FBLN1,3.636254636308343e-07,KRT18,7.952408852929008e-08,ACPP,8.195902586108779e-10,IL23A,5.408233911034562e-08,RPS26,1.6600899947439776e-09,CLDN7,3.446119944096408e-07
23,EGFL7,0.0,RPSA,0.0,HSPA8,0.0,CYTIP,0.0,PDLIM1,0.0,NEDD4L,0.0,TRIM29,0.0,RNASE6,0.0,ARG2,0.0,COL3A1,0.0,RCAN2,0.0,TCF4,0.0,KRT18,1.8368171276778647e-45,RGS1,0.0,RPL28,0.0,ACSL4,0.0,CST3,0.0,CTSB,0.0,LCP1,6.111808695555364e-249,IL2RG,0.0,ARG2,0.0,HLA-A,3.23610553937227e-308,SYTL3,5.918717433795959e-57,TRGC1,0.0,DNAJB1,3.66323212016948e-29,RPL30,8.891959440206408e-227,C1QC,1.1347014796538526e-109,H3F3A,2.0648141918480635e-41,CD83,4.902106268165244e-60,PERP,1.2720141485153525e-210,NOTCH4,4.2674533048366696e-37,ARG2,2.958863487686931e-93,MS4A6A,2.4166797259085994e-73,SERPINA5,9.978086437770247e-96,LGI4,5.564137288809612e-76,ATP5F1E,5.433453910346542e-40,HIST2H2AA4,5.885468747961742e-91,EZR,4.6319303533238115e-51,PCA3,4.085046034312879e-53,DNAH11,8.997063596704668e-26,MIF,7.247692789086407e-43,CDC42EP5,2.1992212057252166e-38,ISG20,1.228850211956369e-07,FABP5,5.8312324408598826e-27,CLEC14A,1.371546162987176e-29,HLA-DPB1,3.750868058443797e-20,NCAPD3,4.159503461522206e-27,MT1A,3.135943395082497e-20,SMS,8.68452344626173e-14,PLA2G7,2.586203223876627e-18,TNFAIP2,1.0599699414713538e-16,CTSD,8.97468492084876e-17,SYTL2,2.897305716774113e-13,YBX3,4.110829575899669e-14,CCL4,5.795704485207743e-12,PLA2G2A,1.0416502922328101e-08,PDLIM5,6.67866601216924e-12,TMEFF2,1.2750557643661693e-13,CXCL10,8.221213792991763e-14,TUSC3,2.6762302998240472e-11,SNHG25,3.18548529465891e-12,TMSB10,1.501922144807038e-08,MT-ND3,3.0106725154813423e-06,FABP5,4.2106495391319946e-07,RAP2B,8.755553076914629e-08,ALDH1A3,9.076904989744793e-10,PLA2G2A,5.63044812466579e-08,BASP1,1.7888867420486976e-09,SEC11C,4.3578705709899595e-07
24,PTPRB,0.0,RPL18A,0.0,NKG7,0.0,IL7R,0.0,RPL10A,0.0,RAB3B,0.0,KRT18,0.0,HLA-DMB,0.0,MT1M,0.0,CPE,0.0,COL6A2,0.0,CLEC14A,0.0,DST,4.083642084892627e-45,S100A4,0.0,TRBC2,0.0,LMNA,0.0,C1S,0.0,S100A8,0.0,MATK,8.356513790239406e-249,TNFRSF4,0.0,PDLIM5,0.0,FCGR3A,1.4001167639322921e-305,FUS,1.1827477398770262e-51,MESP1,0.0,IL32,4.63184406196756e-24,RPL13,2.052733874842318e-220,NFKBIA,1.1273979230929313e-96,ADI1,7.02950980216682e-39,ADIRF,1.2802446838489834e-58,F3,1.639237563894544e-210,PTPRB,3.567952161737572e-36,STEAP2,1.1802818604629766e-89,LAPTM5,1.4417684627054913e-61,CA2,1.127732545304278e-93,TIMP3,5.314271823583014e-72,LGALS2,2.4622317903180044e-38,LRRC26,6.953337724003235e-91,TMSB4X,2.727061101063164e-50,TRPM4,5.819914628533122e-53,ODF3B,9.105826404618718e-26,ACPP,2.8063717874244978e-42,FXYD6,3.2199207188327427e-38,SPCS1,1.3689499968455755e-07,APOC1,6.0484319630721536e-27,FLT1,2.1549949657095276e-29,STEAP2,1.735946076078947e-19,CKB,4.39272617646174e-27,BASP1,5.842503891810756e-20,MT1G,8.979722109040508e-14,ZG16B,2.618849854786194e-18,TACSTD2,1.3839255042797992e-16,CCL3,1.604457369327495e-16,SRI,3.166928303999714e-13,TRDN,5.24584556734553e-14,IFI30,7.426252913068369e-12,SPON2,1.5451683967575837e-08,DBI,1.2213022749377407e-11,CCL4,2.1164951362401328e-13,CTSB,8.751015866941971e-14,IGF1,2.8358005553292205e-11,TRIB1,3.209991391541779e-12,ADIRF,2.913567988584197e-08,MT-ND2,4.164311555303822e-06,SAT1,5.041138216038841e-07,EIF1,1.2511861530508968e-07,MESP1,1.333014700494111e-09,ACPP,7.325071164198759e-08,BCL2A1,1.849562631626261e-09,IFI30,5.190020780051667e-07
25,CLEC14A,0.0,TRAC,0.0,CLEC2B,0.0,CXCR4,0.0,KRT7,0.0,HOMER2,0.0,MT-ND3,0.0,CD68,0.0,TRPM4,0.0,TINAGL1,0.0,TIMP3,0.0,EFNB2,0.0,SPRY1,4.87630840316804e-45,ERN1,0.0,CXCR4,0.0,GLUL,0.0,IGFBP6,0.0,TYMP,0.0,XCL1,7.029149081420011e-245,CORO1A,8.05322154008506e-309,MGST1,0.0,PLAC8,5.119800255646109e-305,LINC-PINT,3.708736432333912e-50,GDF15,0.0,EZR,1.0754969872458814e-22,RPSA,1.9075938825586192e-219,BCL2A1,4.742327719013248e-90,HINT1,1.4946228573313504e-37,CCL4,4.023015057847483e-58,PLAUR,1.61689699142346e-207,FLT1,2.2455429142846468e-35,GDF15,2.4517813190004974e-89,UBA52,5.0716586625181055e-59,CD81,9.872857168495465e-92,ANXA2,3.0851038683951474e-71,CD83,2.0331841690315767e-37,SEL1L,1.0739541677418707e-90,APOBEC3G,5.84859874707956e-50,C15orf48,9.34534506633463e-53,CKB,5.326864989483709e-25,RAMP1,4.420936013651309e-42,PROX1,3.9122721550001164e-38,SEL1L3,1.4959511518946155e-07,HLA-DQA1,1.1870003549235038e-26,SEPT2,2.17011418281116e-29,TMPRSS2,4.0453937795030327e-19,CREB3L4,4.7375366037713995e-27,SH3BGRL3,6.696449981171019e-20,GDF15,1.2625691460179336e-13,TYROBP,4.5776881842557265e-18,MT2A,2.2796056543600146e-16,CXCL8,1.6200726568257801e-16,RAB11FIP1,3.225414991317646e-13,CKM,5.4127982718953386e-14,CXCL8,2.4053626162598967e-11,SPARCL1,1.822732565509372e-08,SSR4,2.385425085776643e-11,IFI30,2.473534935329852e-13,FCER1G,1.4051128267037209e-13,TRGC1,2.978235249705247e-11,DCXR,4.103475563685063e-12,ATP5F1E,3.562693885769736e-08,SYNPO2,5.55852340392211e-06,SPRY1,6.569754892652623e-07,ATF3,3.015333841743508e-07,SLC45A3,1.4942648961424046e-09,KRT15,7.622471794639255e-08,AMACR,1.9422261004080737e-09,APOC1,6.455037139471201e-07
